county_fips,nation,tfr_2021_2024,births_per_year
22109,NEW FRANCE,1.973,1269
23001,YANKEEDOM,1.589,1138
23005,YANKEEDOM,1.318,2809
23011,YANKEEDOM,1.386,1058
23019,YANKEEDOM,1.323,1288
23031,YANKEEDOM,1.401,1851
24003,TIDEWATER,1.681,6787
24005,THE MIDLANDS,1.596,9175
24013,THE MIDLANDS,1.699,1721
24015,THE MIDLANDS,1.749,1145
24017,TIDEWATER,1.622,1785
24021,THE MIDLANDS,1.687,3173
24025,THE MIDLANDS,1.59,2596
24027,THE MIDLANDS,1.442,3093
24031,THE MIDLANDS,1.663,11309
24033,TIDEWATER,1.646,10684
24037,TIDEWATER,1.792,1369
24043,THE MIDLANDS,1.755,1605
24510,THE MIDLANDS,1.494,7049
25001,YANKEEDOM,1.441,1498
25003,YANKEEDOM,1.249,895
25005,YANKEEDOM,1.498,5663
25009,YANKEEDOM,1.659,8592
25013,YANKEEDOM,1.534,4700
25015,YANKEEDOM,0.994,897
25017,YANKEEDOM,1.341,15954
25021,YANKEEDOM,1.421,7037
25023,YANKEEDOM,1.714,5374
25025,YANKEEDOM,1.13,8225
25027,YANKEEDOM,1.517,8583
26005,YANKEEDOM,1.706,1208
26017,YANKEEDOM,1.482,898
26021,YANKEEDOM,1.672,1467
26025,YANKEEDOM,1.749,1453
26045,YANKEEDOM,1.499,1017
26049,YANKEEDOM,1.655,4220
26065,YANKEEDOM,1.307,2800
26075,YANKEEDOM,1.674,1569
26077,YANKEEDOM,1.385,2621
26081,YANKEEDOM,1.628,8042
26093,YANKEEDOM,1.587,1714
26099,YANKEEDOM,1.486,8620
26115,YANKEEDOM,1.623,1464
26121,YANKEEDOM,1.69,1837
26125,YANKEEDOM,1.496,12405
26139,YANKEEDOM,1.611,3095
26145,YANKEEDOM,1.606,1897
26147,YANKEEDOM,1.612,1433
26161,YANKEEDOM,1.261,3139
26163,YANKEEDOM,1.699,20564
27003,YANKEEDOM,1.701,4028
27037,YANKEEDOM,1.697,4868
27053,YANKEEDOM,1.521,14309
27109,YANKEEDOM,1.665,1936
27123,YANKEEDOM,1.594,6480
27137,YANKEEDOM,1.465,1756
27139,YANKEEDOM,1.742,1672
27145,YANKEEDOM,2.036,2005
27163,YANKEEDOM,1.67,2766
27171,YANKEEDOM,2.139,1879
28033,DEEP SOUTH,1.714,2220
28047,DEEP SOUTH,1.737,2427
28049,DEEP SOUTH,1.642,2587
28059,DEEP SOUTH,1.675,1528
28121,DEEP SOUTH,1.647,1741
29019,THE MIDLANDS,1.305,1912
29047,THE MIDLANDS,1.651,2925
29071,GREATER APPALACHIA,1.874,1131
29077,GREATER APPALACHIA,1.448,3269
29095,THE MIDLANDS,1.636,8535
29097,GREATER APPALACHIA,1.873,1574
29099,GREATER APPALACHIA,1.708,2373
29183,THE MIDLANDS,1.583,4136
29189,THE MIDLANDS,1.573,10151
29510,THE MIDLANDS,1.395,3360
30063,THE FAR WEST,1.146,1071
30111,THE FAR WEST,1.636,1830
31055,THE MIDLANDS,1.885,7942
31109,THE MIDLANDS,1.634,3681
31153,THE MIDLANDS,1.764,2383
32003,THE FAR WEST,1.526,24481
32031,THE FAR WEST,1.455,4957
33011,YANKEEDOM,1.471,4164
33013,YANKEEDOM,1.355,1296
33015,YANKEEDOM,1.442,2770
33017,YANKEEDOM,1.257,1149
34001,THE MIDLANDS,1.627,2727
34003,YANKEEDOM,1.544,9089
34005,THE MIDLANDS,1.601,4659
34007,THE MIDLANDS,1.679,6057
34011,THE MIDLANDS,1.974,1808
34013,YANKEEDOM,1.67,9914
34015,THE MIDLANDS,1.524,2985
34017,YANKEEDOM,1.419,8965
34019,YANKEEDOM,1.541,1075
34021,YANKEEDOM,1.699,4127
34023,YANKEEDOM,1.474,8462
34025,YANKEEDOM,1.722,6350
34027,YANKEEDOM,1.629,4983
34029,THE MIDLANDS,2.953,10446
34031,YANKEEDOM,1.831,6269
34035,YANKEEDOM,1.528,3239
34037,YANKEEDOM,1.647,1397
34039,YANKEEDOM,1.778,6639
34041,YANKEEDOM,1.623,1050
35001,THE FAR WEST,1.385,6394
35013,EL NORTE,1.595,2571
35043,THE FAR WEST,1.414,1300
35045,THE FAR WEST,1.636,1241
35049,EL NORTE,1.336,1110
36001,YANKEEDOM,1.27,2763
36005,YANKEEDOM,1.655,16739
36007,YANKEEDOM,1.438,1737
36013,YANKEEDOM,1.684,1191
36027,YANKEEDOM,1.45,2614
36029,YANKEEDOM,1.409,9031
36045,YANKEEDOM,2.13,1686
36047,YANKEEDOM,1.64,33353
36055,YANKEEDOM,1.422,7317
36059,YANKEEDOM,1.667,13727
36061,YANKEEDOM,0.991,13863
36063,YANKEEDOM,1.514,1901
36065,YANKEEDOM,1.684,2265
36067,YANKEEDOM,1.479,4590
36069,YANKEEDOM,1.528,967
36071,YANKEEDOM,2.236,5607
36075,YANKEEDOM,1.575,1125
36081,YANKEEDOM,1.5,23968
36083,YANKEEDOM,1.393,1496
36085,YANKEEDOM,1.561,4987
36087,YANKEEDOM,3.313,6543
36089,YANKEEDOM,1.596,962
36091,YANKEEDOM,1.4,2016
36093,YANKEEDOM,1.639,1753
36103,YANKEEDOM,1.725,15810
36109,YANKEEDOM,0.972,647
36111,YANKEEDOM,1.324,1473
36119,YANKEEDOM,1.625,9857
37001,TIDEWATER,1.642,1953
37019,DEEP SOUTH,1.723,1189
37021,GREATER APPALACHIA,1.295,2382
37025,GREATER APPALACHIA,1.726,2702
37035,GREATER APPALACHIA,1.685,1676
37049,DEEP SOUTH,1.995,1262
37051,DEEP SOUTH,1.995,5169
37057,GREATER APPALACHIA,1.722,1791
37063,TIDEWATER,1.474,4147
37067,GREATER APPALACHIA,1.655,4466
37071,GREATER APPALACHIA,1.79,2792
37081,TIDEWATER,1.473,5764
37085,TIDEWATER,1.905,1890
37089,GREATER APPALACHIA,1.639,1010
37097,GREATER APPALACHIA,1.699,2053
37101,TIDEWATER,1.859,2864
37119,GREATER APPALACHIA,1.602,15194
37129,DEEP SOUTH,1.339,2191
37133,DEEP SOUTH,2.375,3783
37135,TIDEWATER,1.238,1163
37147,TIDEWATER,1.491,2062
37151,TIDEWATER,1.789,1564
37155,DEEP SOUTH,2.452,1891
37159,GREATER APPALACHIA,1.7,1596
37179,GREATER APPALACHIA,1.817,2566
37183,TIDEWATER,1.497,13175
37191,TIDEWATER,2.147,1639
38017,YANKEEDOM,1.567,2409
39003,THE MIDLANDS,2.017,1214
39007,YANKEEDOM,1.942,1005
39017,GREATER APPALACHIA,1.677,4252
39023,THE MIDLANDS,2.016,1611
39025,GREATER APPALACHIA,1.714,2213
39029,THE MIDLANDS,1.81,946
39035,YANKEEDOM,1.498,12778
39041,GREATER APPALACHIA,1.664,2172
39045,GREATER APPALACHIA,1.735,1681
39049,GREATER APPALACHIA,1.624,17376
39057,GREATER APPALACHIA,1.504,1679
39061,GREATER APPALACHIA,1.716,10187
39085,YANKEEDOM,1.498,2076
39089,THE MIDLANDS,1.686,1870
39093,YANKEEDOM,1.706,3127
39095,THE MIDLANDS,1.645,4723
39099,THE MIDLANDS,1.735,2291
39103,YANKEEDOM,1.636,1651
39109,THE MIDLANDS,1.811,1133
39113,GREATER APPALACHIA,1.666,6039
39133,YANKEEDOM,1.337,1360
39139,THE MIDLANDS,1.934,1347
39151,THE MIDLANDS,1.724,3891
39153,YANKEEDOM,1.542,5370
39155,YANKEEDOM,1.687,1945
39165,GREATER APPALACHIA,1.716,2428
39169,THE MIDLANDS,2.023,1389
39173,THE MIDLANDS,1.427,1241
40017,GREATER APPALACHIA,1.745,2099
40027,GREATER APPALACHIA,1.235,2714
40031,GREATER APPALACHIA,1.868,1570
40109,GREATER APPALACHIA,1.873,10925
40143,GREATER APPALACHIA,1.817,8646
41005,THE LEFT COAST,1.449,3724
41017,THE FAR WEST,1.41,1883
41019,THE LEFT COAST,1.645,964
41029,THE LEFT COAST,1.583,2072
41039,THE LEFT COAST,1.162,2965
41043,THE LEFT COAST,1.697,1426
41047,THE LEFT COAST,1.693,3914
41051,THE LEFT COAST,1.091,7190
41067,THE LEFT COAST,1.35,6026
42001,THE MIDLANDS,1.534,913
42003,THE MIDLANDS,1.362,11818
42007,THE MIDLANDS,1.585,1494
42011,THE MIDLANDS,1.691,4539
42013,GREATER APPALACHIA,1.657,1131
42017,THE MIDLANDS,1.535,5594
42019,THE MIDLANDS,1.558,1714
42021,GREATER APPALACHIA,1.672,1153
42027,THE MIDLANDS,1.177,1087
42029,THE MIDLANDS,1.683,5557
42041,THE MIDLANDS,1.577,2660
42043,THE MIDLANDS,1.69,3263
42045,THE MIDLANDS,1.621,6264
42049,YANKEEDOM,1.543,2565
42051,GREATER APPALACHIA,1.667,1122
42055,THE MIDLANDS,1.847,1703
42069,YANKEEDOM,1.525,2000
42071,THE MIDLANDS,1.97,6957
42075,THE MIDLANDS,1.86,1563
42077,THE MIDLANDS,1.562,3845
42079,YANKEEDOM,1.634,3180
42081,THE MIDLANDS,1.568,1081
42085,THE MIDLANDS,1.684,999
42089,THE MIDLANDS,1.398,1309
42091,THE MIDLANDS,1.545,8474
42095,THE MIDLANDS,1.425,2730
42101,THE MIDLANDS,1.416,18733
42107,THE MIDLANDS,1.654,1251
42125,GREATER APPALACHIA,1.636,1930
42129,GREATER APPALACHIA,1.529,2849
42133,THE MIDLANDS,1.721,4791
44003,YANKEEDOM,1.328,1473
44007,YANKEEDOM,1.421,6849
44009,YANKEEDOM,1.27,845
45003,DEEP SOUTH,1.812,1935
45007,GREATER APPALACHIA,1.753,2350
45013,DEEP SOUTH,1.856,1875
45015,DEEP SOUTH,1.807,3087
45019,DEEP SOUTH,1.587,5000
45035,DEEP SOUTH,1.805,2022
45041,DEEP SOUTH,1.725,1570
45045,GREATER APPALACHIA,1.734,6609
45051,DEEP SOUTH,1.654,3363
45063,DEEP SOUTH,1.679,3284
45077,GREATER APPALACHIA,1.383,1243
45079,DEEP SOUTH,1.384,4510
45083,GREATER APPALACHIA,1.765,4254
45085,DEEP SOUTH,1.847,1303
45091,DEEP SOUTH,1.589,2998
46099,YANKEEDOM,1.98,2784
46103,THE FAR WEST,2.105,1404
47009,GREATER APPALACHIA,1.615,1319
47037,GREATER APPALACHIA,1.618,10274
47065,GREATER APPALACHIA,1.738,4517
47093,GREATER APPALACHIA,1.52,5431
47125,GREATER APPALACHIA,1.893,3686
47149,GREATER APPALACHIA,1.636,4534
47157,DEEP SOUTH,1.837,12084
47163,GREATER APPALACHIA,1.616,1514
47165,GREATER APPALACHIA,1.799,2338
47179,GREATER APPALACHIA,1.36,1257
47187,GREATER APPALACHIA,1.613,2280
47189,GREATER APPALACHIA,1.861,1892
48027,GREATER APPALACHIA,2.056,6010
48029,EL NORTE,1.719,26364
48039,DEEP SOUTH,1.809,4716
48041,DEEP SOUTH,1.423,2735
48061,EL NORTE,2.074,5879
48085,GREATER APPALACHIA,1.589,12939
48091,GREATER APPALACHIA,1.806,1983
48113,GREATER APPALACHIA,1.822,36563
48121,GREATER APPALACHIA,1.564,11481
48135,GREATER APPALACHIA,2.588,2973
48139,GREATER APPALACHIA,1.935,2795
48141,EL NORTE,1.756,11003
48157,DEEP SOUTH,1.591,9393
48167,DEEP SOUTH,1.685,3893
48181,GREATER APPALACHIA,1.984,1776
48183,DEEP SOUTH,1.987,1669
48187,GREATER APPALACHIA,1.741,2090
48201,DEEP SOUTH,1.793,64533
48209,GREATER APPALACHIA,1.599,3301
48215,EL NORTE,2.185,13831
48245,DEEP SOUTH,2.008,3136
48251,GREATER APPALACHIA,1.94,2502
48257,GREATER APPALACHIA,2.102,2737
48303,GREATER APPALACHIA,1.61,4095
48309,DEEP SOUTH,1.744,3344
48329,GREATER APPALACHIA,2.379,3019
48339,DEEP SOUTH,1.893,8641
48355,EL NORTE,1.781,4233
48367,GREATER APPALACHIA,1.944,1946
48375,GREATER APPALACHIA,2.04,1536
48381,GREATER APPALACHIA,1.693,1721
48423,DEEP SOUTH,1.858,3090
48439,GREATER APPALACHIA,1.726,27570
48441,GREATER APPALACHIA,1.734,1932
48451,GREATER APPALACHIA,1.797,1472
48453,GREATER APPALACHIA,1.452,16233
48479,EL NORTE,2.296,4386
48485,GREATER APPALACHIA,1.743,1518
48491,GREATER APPALACHIA,1.674,8380
49005,THE FAR WEST,1.929,2046
49011,THE FAR WEST,1.849,4711
49035,THE FAR WEST,1.597,14652
49049,THE FAR WEST,2.173,12251
49053,THE FAR WEST,2.001,2385
49057,THE FAR WEST,1.732,3463
50007,YANKEEDOM,1.149,1368
51013,TIDEWATER,1.132,2388
51041,TIDEWATER,1.673,4136
51059,TIDEWATER,1.623,12344
51087,TIDEWATER,1.55,3677
51107,GREATER APPALACHIA,1.723,4730
51153,TIDEWATER,1.932,6234
51177,TIDEWATER,1.728,1625
51179,TIDEWATER,1.745,1834
51510,TIDEWATER,1.579,2240
51550,TIDEWATER,1.661,2774
51650,TIDEWATER,1.513,1554
51700,TIDEWATER,1.719,2439
51710,TIDEWATER,1.573,3030
51760,TIDEWATER,1.335,2920
51810,TIDEWATER,1.538,5018
53005,THE FAR WEST,1.82,2531
53011,THE LEFT COAST,1.625,5575
53015,THE LEFT COAST,1.806,1219
53033,THE LEFT COAST,1.235,22960
53035,THE LEFT COAST,1.601,2785
53053,THE LEFT COAST,1.643,10756
53057,THE LEFT COAST,1.783,1371
53061,THE LEFT COAST,1.63,9840
53063,THE FAR WEST,1.541,5861
53067,THE LEFT COAST,1.481,2992
53073,THE LEFT COAST,1.233,1987
53077,THE FAR WEST,1.951,3338
54003,GREATER APPALACHIA,1.798,1542
54039,GREATER APPALACHIA,1.6,1666
55009,YANKEEDOM,1.681,2975
55025,YANKEEDOM,1.304,5558
55039,YANKEEDOM,1.643,1009
55059,YANKEEDOM,1.522,1663
55063,YANKEEDOM,1.43,1115
55073,YANKEEDOM,1.78,1424
55079,YANKEEDOM,1.65,11623
55087,YANKEEDOM,1.74,2110
55101,YANKEEDOM,1.801,2114
55105,YANKEEDOM,1.772,1785
55117,YANKEEDOM,1.654,1107
55127,YANKEEDOM,1.554,900
55131,YANKEEDOM,1.72,1261
55133,YANKEEDOM,1.649,3748
55139,YANKEEDOM,1.53,1686
